========================================================================================
Trioron 2.0 Axis 6 — real-substrate, n=3 seeds
H_init=4  mode=absolute  k=1.0  floor=0.005  b_thr=1.0  sigma=1.5  dt=0.1  tol=0.0  spawn_cap=3  cooldown=50  credit_thr=0.1
========================================================================================
  [stripe] epoch   0: loss=3.7996  acc=0.537  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 100: loss=0.1851  acc=0.977  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 200: loss=0.1626  acc=0.990  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 300: loss=0.1623  acc=0.990  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 399: loss=0.1622  acc=0.990  H=4  epi_A_max=0.000  epi_B_max=0.000
[seed 2  arm BASELINE_frozen ]  max|drift|=0.423  sum_final=3.533  H=4  spawns=0  frozen=0
  [linear] epoch   0: loss=0.9176  acc=0.677  H=4  epi_A_max=0.000  epi_B_max=0.031
  [linear] epoch 100: loss=0.2378  acc=0.970  H=4  epi_A_max=0.005  epi_B_max=0.733
  [linear] epoch 199: loss=0.0940  acc=0.987  H=6  epi_A_max=0.007  epi_B_max=1.022
  [XOR] epoch   0: loss=1.0386  acc=0.513  H=6  epi_A_max=0.000  epi_B_max=0.107
  [XOR] epoch 100: loss=0.2470  acc=0.983  H=7  epi_A_max=0.006  epi_B_max=1.074
  [XOR] epoch 200: loss=0.2318  acc=0.990  H=9  epi_A_max=0.010  epi_B_max=1.005
  [XOR] epoch 300: loss=0.1952  acc=0.983  H=9  epi_A_max=0.016  epi_B_max=1.056
  [XOR] epoch 399: loss=0.1880  acc=0.983  H=9  epi_A_max=0.025  epi_B_max=1.080
  [rings] epoch   0: loss=1.0872  acc=0.397  H=9  epi_A_max=0.000  epi_B_max=0.109
  [rings] epoch 100: loss=0.2581  acc=0.987  H=10  epi_A_max=0.007  epi_B_max=0.879
  [rings] epoch 200: loss=0.2251  acc=0.980  H=12  epi_A_max=0.010  epi_B_max=0.832
  [rings] epoch 300: loss=0.2076  acc=0.973  H=12  epi_A_max=0.012  epi_B_max=0.848
  [rings] epoch 399: loss=0.2066  acc=0.973  H=12  epi_A_max=0.015  epi_B_max=0.989
  [diamond] epoch   0: loss=1.6320  acc=0.077  H=12  epi_A_max=0.000  epi_B_max=0.101
  [diamond] epoch 100: loss=0.2901  acc=0.943  H=12  epi_A_max=0.004  epi_B_max=0.701
  [diamond] epoch 200: loss=0.2550  acc=0.963  H=14  epi_A_max=0.006  epi_B_max=0.710
  [diamond] epoch 300: loss=0.1604  acc=0.970  H=15  epi_A_max=0.008  epi_B_max=0.520
  [diamond] epoch 399: loss=0.1363  acc=0.973  H=15  epi_A_max=0.011  epi_B_max=0.556
  [stripe] epoch   0: loss=2.0095  acc=0.143  H=15  epi_A_max=0.000  epi_B_max=0.056
  [stripe] epoch 100: loss=0.0547  acc=0.993  H=15  epi_A_max=0.003  epi_B_max=1.712
  [stripe] epoch 200: loss=0.0313  acc=0.993  H=15  epi_A_max=0.004  epi_B_max=2.059
  [stripe] epoch 300: loss=0.0286  acc=0.993  H=17  epi_A_max=0.006  epi_B_max=2.137
  [stripe] epoch 399: loss=0.0297  acc=0.993  H=18  epi_A_max=0.008  epi_B_max=2.135
[seed 2  arm AXIS6_emerge    ]  max|drift|=0.533  sum_final=3.240  H=18  spawns=14  frozen=0
  [linear] epoch   0: loss=0.9176  acc=0.677  H=4  epi_A_max=0.000  epi_B_max=0.031
  [linear] epoch 100: loss=0.2378  acc=0.970  H=4  epi_A_max=0.005  epi_B_max=0.733
  [linear] epoch 199: loss=0.0940  acc=0.987  H=6  epi_A_max=0.007  epi_B_max=1.022
  [XOR] epoch   0: loss=1.0386  acc=0.513  H=6  epi_A_max=0.000  epi_B_max=0.107
  [XOR] epoch 100: loss=0.3462  acc=0.937  H=7  epi_A_max=0.007  epi_B_max=1.067
  [XOR] epoch 200: loss=0.2519  acc=0.950  H=9  epi_A_max=0.013  epi_B_max=1.067
  [XOR] epoch 300: loss=0.2206  acc=0.953  H=9  epi_A_max=0.025  epi_B_max=1.067
  [XOR] epoch 399: loss=0.2199  acc=0.953  H=9  epi_A_max=0.037  epi_B_max=1.067
  [rings] epoch   0: loss=1.1026  acc=0.487  H=9  epi_A_max=0.000  epi_B_max=0.107
  [rings] epoch 100: loss=0.3103  acc=0.957  H=11  epi_A_max=0.008  epi_B_max=1.067
  [rings] epoch 200: loss=0.2705  acc=0.957  H=12  epi_A_max=0.016  epi_B_max=1.067
  [rings] epoch 300: loss=0.2377  acc=0.960  H=12  epi_A_max=0.026  epi_B_max=1.067
  [rings] epoch 399: loss=0.2369  acc=0.967  H=12  epi_A_max=0.036  epi_B_max=1.067
  [diamond] epoch   0: loss=2.1542  acc=0.253  H=12  epi_A_max=0.000  epi_B_max=0.107
  [diamond] epoch 100: loss=0.2747  acc=0.933  H=13  epi_A_max=0.008  epi_B_max=1.067
  [diamond] epoch 200: loss=0.2526  acc=0.943  H=15  epi_A_max=0.014  epi_B_max=1.192
  [diamond] epoch 300: loss=0.2370  acc=0.940  H=15  epi_A_max=0.022  epi_B_max=1.340
  [diamond] epoch 399: loss=0.2237  acc=0.943  H=15  epi_A_max=0.029  epi_B_max=1.539
  [stripe] epoch   0: loss=1.6076  acc=0.537  H=15  epi_A_max=0.000  epi_B_max=0.156
  [stripe] epoch 100: loss=0.1912  acc=0.990  H=16  epi_A_max=0.006  epi_B_max=1.558
  [stripe] epoch 200: loss=0.1751  acc=0.980  H=18  epi_A_max=0.007  epi_B_max=1.558
  [stripe] epoch 300: loss=0.1421  acc=0.977  H=18  epi_A_max=0.010  epi_B_max=1.558
  [stripe] epoch 399: loss=0.1305  acc=0.980  H=18  epi_A_max=0.013  epi_B_max=1.558
[seed 2  arm AXIS6_credit    ]  max|drift|=0.000  sum_final=4.830  H=18  spawns=14  frozen=16

========================================================================================
AGGREGATE (n=3 seeds, mean ± std)
========================================================================================
  arm                   max|drift|       sum_final     H_final    spawns    frozen
  BASELINE_frozen    0.424 ± 0.198   3.437 ± 0.170   4.0 ± 0.0  0.0 ± 0.0  0.0 ± 0.0
  AXIS6_emerge       0.531 ± 0.017   3.162 ± 0.177  17.7 ± 0.6  13.7 ± 0.6  0.0 ± 0.0
  AXIS6_credit       0.077 ± 0.133   4.729 ± 0.190  17.7 ± 0.6  13.7 ± 0.6  15.7 ± 1.5

  per-task final acc (mean ± std across 3 seeds):
  arm                       linear             XOR           rings         diamond          stripe
  BASELINE_frozen    0.547 ± 0.200   0.522 ± 0.040   0.638 ± 0.059   0.744 ± 0.013   0.986 ± 0.008
  AXIS6_emerge       0.561 ± 0.104   0.552 ± 0.122   0.513 ± 0.092   0.542 ± 0.104   0.993 ± 0.000
  AXIS6_credit       0.981 ± 0.010   0.934 ± 0.022   0.882 ± 0.149   0.947 ± 0.012   0.984 ± 0.005

  CSV → outputs/axis6_real_substrate_credit_n3.csv
